artist,artist_id,track,track_duration,composer,composition_id,score_path,midi_path,youtube_links
Vladimir Ashkenazy,6,Four Pieces (originally Op.1): 3. Mélodie,218.253,Sergei Rachmaninoff,0,,Sergei_Rachmaninoff/Four_Pieces_(originally_Op.1)/3._Mélodie/00001.mid,https://www.youtube.com/watch?v=2pNrdpv2n0Q
Vladimir Ashkenazy,6,Four Pieces (originally Op.1): 4. Gavotte,222.333,Sergei Rachmaninoff,1,,Sergei_Rachmaninoff/Four_Pieces_(originally_Op.1)/4._Gavotte/00002.mid,https://www.youtube.com/watch?v=CafN4QM6SvI
Vladimir Ashkenazy,6,Four Pieces (originally Op.1): 2. Prelude,176.373,Sergei Rachmaninoff,2,,Sergei_Rachmaninoff/Four_Pieces_(originally_Op.1)/2._Prelude/00003.mid,https://www.youtube.com/watch?v=Fs1wAlSU8hk
Vladimir Ashkenazy,6,Four Pieces (originally Op.1): 1. Romance,147.68,Sergei Rachmaninoff,3,,Sergei_Rachmaninoff/Four_Pieces_(originally_Op.1)/1._Romance/00004.mid,https://www.youtube.com/watch?v=c_GpYNjv8Ok
Sviatoslav Richter,0,"13 Preludes, Op. 32 (Excerpts): No. 2 in B-Flat Minor [Live]",187.773,Sergei Rachmaninoff,4,,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._2_in_B-Flat_Minor/00005.mid",https://www.youtube.com/watch?v=-L30yl7eU3M
Sviatoslav Richter,0,"13 Preludes, Op. 32 (Excerpts): No. 2 in B-Flat Minor [Live]",189.106,Sergei Rachmaninoff,4,,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._2_in_B-Flat_Minor/00006.mid",https://www.youtube.com/watch?v=e9L4F5-hu7w
Sviatoslav Richter,0,"13 Préludes, Op. 32: No. 2 in B-Flat Minor (Allegretto) [Live]",172.72,Sergei Rachmaninoff,4,,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._2_in_B-Flat_Minor/00007.mid",https://www.youtube.com/watch?v=URR7OP85xxM
Sviatoslav Richter,0,"13 Preludes, Op. 32: No. 2 in B-Flat Minor: Allegretto",191.026,Sergei Rachmaninoff,4,,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._2_in_B-Flat_Minor/00008.mid",https://www.youtube.com/watch?v=Wf70fFWnvOg
Sviatoslav Richter,0,"Preludes, Op. 32: No. 2 in B-Flat Minor",170.226,Sergei Rachmaninoff,4,,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._2_in_B-Flat_Minor/00009.mid",https://www.youtube.com/watch?v=J0LQv3QmOvs
Vladimir Ashkenazy,6,"13 Preludes, Op. 32: No. 2 in B-Flat Minor: Allegretto",174.906,Sergei Rachmaninoff,4,,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._2_in_B-Flat_Minor/00010.mid",https://www.youtube.com/watch?v=_Kx-2fetrBs
Vladimir Ashkenazy,6,"13 Preludes, Op. 32: No. 2 in B-Flat Minor: Allegretto",171.733,Sergei Rachmaninoff,4,,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._2_in_B-Flat_Minor/00011.mid",https://www.youtube.com/watch?v=iZN_d_Ozb3c
Nikolai Lugansky,41,"13 Preludes, Op. 32: No. 2. Allegretto in B-Flat Minor",185.773,Sergei Rachmaninoff,4,,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._2_in_B-Flat_Minor/00012.mid",https://www.youtube.com/watch?v=oB9Rwob4nOM
Sviatoslav Richter,0,"13 Préludes, Op. 32: No. 1 in C Major (Allegro vivace) [Live]",66.546,Sergei Rachmaninoff,5,,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._1_in_C_Major:_Allegro_vivace/00013.mid",https://www.youtube.com/watch?v=Z3BUmNGsolw
