artist,artist_id,track,track_duration,composer,composition_id,score_path,midi_path,youtube_links
Vladimir Horowitz,2.0,"Piano Sonata No. 2 in B-Flat Minor, Op. 36: III. L'istesso tempo - Allegro molto",372.013,Sergei Rachmaninoff,86,,"Sergei_Rachmaninoff/Piano_Sonata_No._2_in_B-Flat_Minor,_Op._36_-_1913_Version/3._Allegro_molto/00265.mid",https://www.youtube.com/watch?v=m7OgDFKsP4M
Arturo Benedetti Michelangeli,10.0,"Faschingsschwank aus Wien, Op. 26: III. Scherzino",141.4,Robert Schumann,252,,"Robert_Schumann/Faschingsschwank_aus_Wien,_Op._26/III._Scherzino/01287.mid",https://www.youtube.com/watch?v=FJDwjW4-tVY
Arturo Benedetti Michelangeli,10.0,"Faschingsschwank aus Wien, Op. 26: V. Finale (Il più vivace possibile)",293.493,Robert Schumann,253,,"Robert_Schumann/Faschingsschwank_aus_Wien,_Op._26/V._Finale/01300.mid",https://www.youtube.com/watch?v=Dq5o9FAa6H4
Martha Argerich,7.0,"Partita No. 2 in C Minor, BWV 826: V. Rondeaux",77.066,Johann Sebastian Bach,342,,"Johann_Sebastian_Bach/Partita_No._2_in_C_minor,_BWV_826/5._Rondeaux/01787.mid",https://www.youtube.com/watch?v=uJJ0yljthzw
Martha Argerich,7.0,"Partita No. 2 in C Minor, BWV 826: II. Allemande",258.026,Johann Sebastian Bach,346,,"Johann_Sebastian_Bach/Partita_No._2_in_C_minor,_BWV_826/2._Allemande/01847.mid",https://www.youtube.com/watch?v=1YXcVQiq5A8
Martha Argerich,7.0,"Partita No. 2 in C Minor, BWV 826: VI. Capriccio",182.933,Johann Sebastian Bach,347,,"Johann_Sebastian_Bach/Partita_No._2_in_C_minor,_BWV_826/6._Capriccio/01859.mid",https://www.youtube.com/watch?v=AgaT18p20YY
András Schiff,4.0,"French Suite No. 5 in G, BWV 816: 3. Sarabande",260.64,Johann Sebastian Bach,365,,"Johann_Sebastian_Bach/French_Suite_No._5_in_G,_BWV_816/III._Sarabande/01891.mid",https://www.youtube.com/watch?v=WrmOjIsv1hY
András Schiff,4.0,"French Suite No. 5 in G, BWV 816: 4. Gavotte",73.773,Johann Sebastian Bach,362,,"Johann_Sebastian_Bach/French_Suite_No._5_in_G,_BWV_816/IV._Gavotte/01903.mid",https://www.youtube.com/watch?v=UQeecYcfzes
András Schiff,4.0,"French Suite No. 5 in G, BWV 816: 2. Courante",92.693,Johann Sebastian Bach,368,,"Johann_Sebastian_Bach/French_Suite_No._5_in_G,_BWV_816/2._Courante/01914.mid",https://www.youtube.com/watch?v=wErTMMusRtM
András Schiff,4.0,"French Suite No. 5 in G, BWV 816: 7. Gigue",208.466,Johann Sebastian Bach,363,"Johann_Sebastian_Bach/French_Suite_No._5_in_G,_BWV_816/7._Gigue/J._S._Bach_French_Suite_V_Gigue_BWV_816.7.mxl","Johann_Sebastian_Bach/French_Suite_No._5_in_G,_BWV_816/7._Gigue/01931.mid",https://www.youtube.com/watch?v=kyeL0etYRqg
András Schiff,4.0,"French Suite No. 5 in G, BWV 816: 6. Loure",116.8,Johann Sebastian Bach,366,,"Johann_Sebastian_Bach/French_Suite_No._5_in_G,_BWV_816/6._Loure/01943.mid",https://www.youtube.com/watch?v=gnsxUr2WNW0
Murray Perahia,13.0,"English Suite No. 1 in A Major, BWV 806: V. Sarabande",244.306,Johann Sebastian Bach,448,,Johann_Sebastian_Bach/English_Suite_No.1_in_A_major_BWV_806/5._Sarabande/02190.mid,https://www.youtube.com/watch?v=3j8XmHmygl8
Hélène Grimaud,38.0,"Das Wohltemperierte Klavier: Book 1, BWV 846-869: I. Prelude In C Minor BWV 847",91.04,Johann Sebastian Bach,528,,"Johann_Sebastian_Bach/The_Well-Tempered_Clavier,_Book_I/No._2_in_C_Minor,_BWV_847:_Prelude/02574.mid",https://www.youtube.com/watch?v=N1GrbU8y78g
Alicia de Larrocha,18.0,"French Suite No. 6 in E Major, BWV 817: 1. Allemande",142.666,Johann Sebastian Bach,574,,"Johann_Sebastian_Bach/French_Suite_No.6_in_E,_BWV_817/1._Allemande/02794.mid",https://www.youtube.com/watch?v=wVB4ETJGpjA
Alicia de Larrocha,18.0,"French Suite No. 6 in E Major, BWV 817: 5. Polonaise",86.46600000000002,Johann Sebastian Bach,576,,"Johann_Sebastian_Bach/French_Suite_No.6_in_E,_BWV_817/5._Polonaise/02807.mid",https://www.youtube.com/watch?v=CIe47R821pQ
Alicia de Larrocha,18.0,"French Suite No. 6 in E Major, BWV 817: 4. Gavotte",69.533,Johann Sebastian Bach,577,,"Johann_Sebastian_Bach/French_Suite_No.6_in_E,_BWV_817/4._Gavotte/02815.mid",https://www.youtube.com/watch?v=6FdWvLB1FeI
